Id;Point;P;K;Ca;Mg;S;Cu;Zn;Mn;Na;Cd;Cr;Ni;Pb;Al;As;Ba;Categoria
15;point 4;0,057333333;0,33;0,23;0,25;0,03;17,57;40,33;210,1;381,9;< 0,2;30,35;18,68;13,48;3,768;3,114;0,2202;Solo rizosferico
16;point 4;0,086333333;0,34;0,33;0,29;0,05;23,33;71,25;299,3;320,3;0,286;45,05;24,44;19,02;4,444;6,986;0,25;Solo rizosferico
17;point 5;0,068333333;0,26;0,15;0,16;0,03;13,62;47,97;246,3;171,4;0,251;19,37;14,38;9,877;2,337;9,984;0,1449;Solo rizosferico
18;point 5;0,042333333;0,13;0,05;0,09;0,01;7,26;24,26;106,4;134,4;< 0,2;13,43;8,566;7,991;1,272;5,113;763,7;Solo rizosferico
19;point 5;0,058;0,23;0,16;0,15;0,03;11,13;31,76;191,4;184,6;0,293;26,45;11,94;8,778;2,084;7,478;0,1265;Solo rizosferico
20;point 5;0,078333333;0,49;0,32;0,43;0,05;33,51;70,34;488,6;318,8;0,613;30,1;31,57;15,46;5,721;18,44;0,3471;Solo rizosferico
21;point 5;0,066666667;0,43;0,26;0,28;0,04;17,96;56,29;274;417,8;0,245;27,42;19,47;12,05;3,492;9,335;0,1873;Solo rizosferico
22;point 5;0,047;0,31;0,2;0,225;0,05;14,99;42,625;245,3;319,7;0,1945;19,89;15,12;8,7315;2,7985;8,6025;0,15745;Solo rizosferico
23;point 6;0,037;0,09;0,1;0,07;0,02;4,815;18,71;82,15;152,4;< 0,2;19,98;4,671;3,032;0,7791;2,72;495,5;Solo rizosferico
24;point 6;0,039666667;0,09;0,08;0,06;0,03;5,717;19,04;68,91;95,64;< 0,2;14,17;5,868;3,751;0,6645;4,683;476,1;Solo rizosferico
25;point 6;0,039;0,14;0,11;0,09;0,02;6,314;23,84;106,3;191,9;0,201;17,75;6,674;5,794;0,9935;4,824;677,3;Solo rizosferico
26;point 7;0,047333333;0,16;0,19;0,22;0,02;9,944;32,15;232,8;220,7;< 0,2;29,98;16,05;7,707;1,791;1,98;0,1286;Solo rizosferico
27;point 7;0,047;0,15;0,14;0,2;0,02;11,05;28,1;177,7;154,7;< 0,2;36,36;15,36;6,934;1,686;3,654;0,1085;Solo rizosferico
28;point 7;;;;;;;;;;;;;;;;;Solo rizosferico
29;point 8;0,046666667;0,2;0,1;0,11;0,02;8,079;29;143,4;190,1;< 0,2;11,76;8,134;6,691;1,511;6,303;880,9;Solo rizosferico
30;point 8;0,058333333;0,24;0,12;0,13;0,02;9,579;38,73;188,2;196,9;0,316;8,787;10,93;7,719;1,824;6,386;0,1103;Solo rizosferico
31;point 8;0,039666667;0,11;0,09;0,08;0,01;6,573;25,76;110,7;118,4;< 0,2;25,93;7,565;5,833;1,152;4,23;694,8;Solo rizosferico
